# Time-averaged data for fix savemsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 1.0816e-30 0 1.18175e-29 1.28991e-29
2000 3.21013 2.12877 3.53848 8.87738
4000 7.29997 6.24877 6.07136 19.6201
6000 10.4522 8.85005 9.61942 28.9217
8000 15.0602 13.0033 12.3972 40.4608
10000 20.0438 16.5394 17.9251 54.5083
12000 23.1516 24.0488 20.9166 68.1169
14000 24.3665 30.7619 22.285 77.4134
16000 28.8826 36.7214 30.2272 95.8313
18000 30.5132 37.9067 33.7545 102.174
20000 36.1729 37.6296 41.7432 115.546
22000 43.623 43.7817 47.756 135.161
24000 47.2268 52.0112 50.491 149.729
26000 48.2782 48.3661 50.1537 146.798
28000 44.5801 56.8047 54.0201 155.405
30000 49.4835 59.4794 59.1808 168.144
32000 55.5672 63.4272 57.0102 176.005
34000 57.4428 71.9639 62.7274 192.134
36000 53.9472 73.8361 67.0753 194.859
38000 52.4474 76.5609 71.4223 200.431
40000 55.232 77.688 70.3296 203.25
42000 57.3963 82.1127 70.111 209.62
44000 62.8877 82.6634 74.446 219.997
46000 62.0442 82.9644 79.0068 224.015
48000 62.3008 88.7206 79.0901 230.112
50000 68.785 105.19 74.5855 248.561
52000 73.5059 106.722 74.5197 254.748
54000 82.1309 109.877 79.8062 271.814
56000 89.0136 113.048 80.8464 282.908
58000 90.7476 115.735 79.8612 286.344
60000 88.1405 123.032 84.9352 296.108
62000 88.4367 122.016 89.1187 299.572
64000 88.5513 134.57 87.2352 310.357
66000 93.2222 140.245 93.9871 327.455
68000 95.8498 147.958 88.0587 331.867
70000 100.029 144.079 91.2339 335.342
72000 102.202 149.004 88.7135 339.92
74000 102.927 155.148 84.019 342.093
76000 111.658 159.758 87.9912 359.407
78000 114.209 169.751 84.5102 368.47
80000 112.475 176.23 90.7289 379.433
82000 115.966 179.769 94.3193 390.054
84000 121.401 185.27 85.5341 392.205
86000 131.23 183.335 85.3662 399.931
88000 130.245 194.256 81.7826 406.283
90000 128.305 182.453 74.5031 385.261
92000 132.876 188.643 81.8677 403.386
94000 138.949 189.683 83.3954 412.027
96000 137.863 190.107 89.9421 417.912
98000 139.516 201.187 93.8291 434.533
100000 146.725 197.566 96.5083 440.799
102000 137.422 206.648 100.007 444.077
104000 144.74 211.847 106.469 463.056
106000 136.543 210.507 104.486 451.536
108000 140.378 209.981 106.198 456.557
110000 133.209 212.538 110.986 456.733
112000 141.425 206.876 114.533 462.834
114000 145.969 199.637 120.123 465.73
116000 149.186 197.598 120.302 467.085
118000 155.048 193.548 123.623 472.218
120000 154.995 190.768 127.096 472.86
122000 168.536 196.102 134.725 499.363
124000 174.76 203.748 135.357 513.865
126000 167.284 209.884 142.802 519.971
128000 167.823 207.866 137.357 513.046
130000 172.54 203.307 139.802 515.649
132000 189.182 202.835 145.856 537.873
134000 202.363 205.768 153.723 561.854
136000 205.226 210.004 159.189 574.419
138000 208.416 213.16 162.258 583.835
140000 213.899 227.954 160.79 602.643
142000 215.75 238.751 164.396 618.897
144000 218.833 247.619 169.36 635.811
146000 214.579 248.812 165.972 629.363
148000 217.725 251.315 174.718 643.757
150000 216.27 240.417 172.619 629.306
152000 210.6 235.528 180.401 626.529
154000 228.088 240.488 176.462 645.037
156000 233.627 247.151 180.882 661.661
158000 232.393 273.344 182.821 688.558
160000 220.357 285.449 195.671 701.476
162000 223.269 287.22 190.222 700.711
164000 227.565 288.838 198.06 714.463
166000 228.81 308.499 189.565 726.874
168000 241.455 299.544 195.858 736.856
170000 234.402 298.911 193.492 726.805
172000 255.204 320.714 206.5 782.417
174000 249.814 332.008 219.852 801.674
176000 250.021 332.559 228.015 810.595
178000 270.669 339.022 237.548 847.239
180000 264 338.76 244.973 847.733
182000 274.274 345.229 257.495 876.997
184000 282.434 339.74 265.811 887.985
186000 276.701 336.308 267.701 880.711
188000 289.951 319.421 267.623 876.995
190000 303.262 324.477 262.617 890.356
192000 308.121 335.977 261.322 905.42
194000 296.004 324.159 262.939 883.103
196000 302.951 321.619 266.44 891.01
198000 297.021 324.573 263.668 885.261
200000 282.742 325.321 251.277 859.339
202000 276.285 326.031 264.589 866.906
204000 278.518 319.756 277.123 875.397
206000 293.148 312.729 274.685 880.562
208000 293.749 328.655 276.828 899.231
210000 282.765 326.831 276.931 886.527
212000 303.901 324.046 274.773 902.72
214000 321.465 324.333 279.338 925.136
216000 330.56 329.952 297.282 957.794
218000 324.366 321.691 289.912 935.969
220000 324.481 326.151 298.407 949.039
222000 336.316 346.833 294.911 978.059
224000 334.626 368.919 301.163 1004.71
226000 334.027 366.283 308.03 1008.34
228000 348.162 375.153 308.507 1031.82
230000 355.583 398.376 310.775 1064.73
232000 345.38 406.78 306.123 1058.28
234000 334.877 412.047 309.868 1056.79
236000 341.517 410.473 317.618 1069.61
238000 344.295 412.323 315.435 1072.05
240000 354.687 411.385 329.174 1095.25
242000 367.795 400.077 346.95 1114.82
244000 368.972 401.048 351.799 1121.82
246000 361.912 405.627 361.703 1129.24
248000 363.321 400.715 372.085 1136.12
250000 362.468 416.863 370.188 1149.52
252000 376.657 413.886 368.925 1159.47
