# Time-averaged data for fix savemsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 0 0 7.23853e-30 7.23853e-30
2000 3.1787 2.80328 2.8568 8.83878
4000 6.31168 5.38702 5.81674 17.5154
6000 8.87075 7.7414 9.05333 25.6655
8000 10.9626 10.3068 11.199 32.4684
10000 14.0554 12.5661 14.3708 40.9922
12000 16.4687 14.7152 17.394 48.5779
14000 19.8331 17.3735 19.4635 56.6701
16000 23.9947 20.0503 22.4735 66.5185
18000 25.8016 22.9277 25.6392 74.3685
20000 29.4471 26.2781 27.4167 83.1419
22000 32.7438 28.6474 30.658 92.0492
24000 35.0955 30.7341 33.5623 99.3919
26000 38.2554 33.393 35.0294 106.678
28000 40.3944 34.3747 37.9549 112.724
30000 43.7572 37.9045 40.1907 121.852
32000 45.0476 40.307 42.2091 127.564
34000 47.7088 42.6369 45.5915 135.937
36000 50.306 44.4923 48.8537 143.652
38000 52.786 46.8583 51.8396 151.484
40000 56.1068 49.3648 54.496 159.968
42000 59.2382 52.8122 57.5642 169.615
44000 63.0082 55.8428 60.7427 179.594
46000 67.265 59.2427 63.8893 190.397
48000 70.1923 61.6014 65.8711 197.665
50000 73.2262 64.1958 69.3715 206.793
52000 75.643 67.7617 72.6221 216.027
54000 79.9327 69.9823 76.4398 226.355
56000 80.9521 73.0329 78.9523 232.937
58000 83.8982 74.7444 80.9894 239.632
60000 87.1799 78.6171 84.7398 250.537
62000 91.1378 80.6897 88.9065 260.734
64000 92.9567 82.5203 91.8194 267.296
66000 97.3272 85.972 94.965 278.264
68000 99.2775 90.2102 98.9816 288.469
70000 102.715 92.5601 102.314 297.589
72000 106.738 95.4778 104.71 306.926
74000 108.34 98.4059 106.917 313.663
76000 110.587 101.133 110.551 322.271
78000 113.486 103.75 114.077 331.313
80000 115.151 106.999 117.842 339.992
82000 117.102 109.786 120.505 347.393
84000 118.353 114.003 121.897 354.252
86000 120.926 118.231 126.964 366.121
88000 123.964 122.434 128.397 374.796
90000 125.788 125.72 131.975 383.482
92000 127.416 129.854 134.196 391.466
94000 132.921 132.478 135.974 401.374
96000 136.765 136.007 138.807 411.58
98000 139.967 137.545 143.281 420.793
100000 143.025 141.242 145.627 429.894
102000 146.937 143.991 148.484 439.412
104000 148.95 145.796 151.189 445.934
106000 150.881 149.367 155.113 455.361
108000 153.107 152.373 158.666 464.146
110000 155.46 154.812 161.486 471.758
112000 160.173 157.748 165.668 483.589
114000 161.73 160.943 167.856 490.529
116000 162.277 162.828 169.623 494.728
118000 164.458 165.771 173.069 503.298
120000 167.791 167.736 174.432 509.959
122000 170.711 169.869 177.567 518.147
124000 173.796 171.421 179.08 524.297
126000 174.771 173.239 182.452 530.462
128000 176.76 172.756 187.66 537.175
130000 180.154 175.546 191.201 546.901
132000 183.151 178.646 195.227 557.024
134000 186.854 179.668 197.294 563.816
136000 188.556 180.653 200.384 569.593
138000 192.284 184.321 203.645 580.251
140000 196.556 186.766 207.677 591
142000 199.246 188.953 210.733 598.932
144000 202.982 193.339 215.623 611.944
146000 206.422 195.115 218.11 619.647
148000 207.65 198.358 221.038 627.045
150000 209.922 203.785 224.563 638.269
152000 213.583 204.574 226.252 644.408
154000 217.364 206.803 227.962 652.129
156000 219.941 207.854 229.674 657.47
158000 221.883 210.726 230.973 663.582
160000 223.18 215.957 233.901 673.038
162000 224.351 220.94 235.566 680.857
164000 224.634 220.005 238.83 683.469
166000 226.128 220.598 242.009 688.735
168000 227.656 223.945 245.408 697.01
170000 230.316 226.71 247.479 704.506
172000 231.18 226.869 251.349 709.398
174000 233.593 231.6 252.597 717.79
176000 236.412 233.839 254.812 725.062
178000 237.865 237.585 257.453 732.904
180000 240.075 238.491 260.207 738.773
182000 240.726 240.858 263.671 745.255
184000 241.649 246.874 266.373 754.896
186000 243.205 248.48 268.139 759.824
188000 245.417 250.751 271.663 767.831
190000 248.093 253.062 274.882 776.037
192000 249.756 254.112 276.093 779.961
194000 251.067 256.201 280.038 787.305
196000 255 258.727 281.947 795.674
198000 256.878 262.528 284.516 803.923
200000 258.754 265.92 287.06 811.734
202000 261.884 270.126 287.963 819.973
204000 263.965 272.858 290.812 827.635
206000 266.664 273.56 294.97 835.193
208000 266.509 276.06 296.701 839.27
210000 270.766 278.342 299.226 848.333
212000 273.514 281.103 300.754 855.37
214000 275.989 285.145 304.958 866.091
216000 277.376 287.796 307.716 872.888
218000 278.769 291.737 310.457 880.962
220000 282.101 293.059 312.451 887.612
222000 286.153 297.459 315.429 899.041
224000 290.749 303.363 318.481 912.593
226000 295.08 305.871 319.608 920.559
228000 298.464 310.211 322.803 931.478
230000 298.913 312.367 324.902 936.182
232000 299.04 313.602 327.301 939.943
234000 301.45 316.351 328.375 946.176
236000 303.636 318.698 330.746 953.08
238000 305.543 321.321 335.18 962.043
240000 308.325 324.044 341.226 973.595
242000 311.201 326.89 343.671 981.762
244000 313.268 329.53 345.225 988.022
246000 316.997 330.891 345.811 993.699
248000 320.677 333.73 347.347 1001.75
250000 323.346 333.663 350.22 1007.23
252000 324.267 337.087 352.992 1014.35
254000 329.657 340.23 357.199 1027.09
256000 332.233 345.425 358.307 1035.96
258000 335.911 351.326 361.323 1048.56
260000 338.478 353.084 363.47 1055.03
262000 340.738 358.011 361.447 1060.2
264000 340.375 360.584 362.561 1063.52
266000 339.7 363.462 365.885 1069.05
268000 343.011 363.298 370.143 1076.45
270000 346.107 368.239 372.304 1086.65
272000 350.292 370.507 374.53 1095.33
274000 353.07 371.997 376.718 1101.78
276000 357.035 371.397 377.488 1105.92
278000 356.931 375.027 382.448 1114.41
280000 358.141 378.095 384.245 1120.48
282000 361.115 379.638 384.693 1125.45
284000 361.634 383.53 385.458 1130.62
286000 363.891 386.896 388.745 1139.53
288000 363.491 389.306 392.154 1144.95
290000 368.789 393.749 394.349 1156.89
292000 369.977 396.552 397.274 1163.8
294000 371.517 400.452 402.393 1174.36
296000 374.083 400.765 403.689 1178.54
298000 375.744 403.699 405.423 1184.87
300000 379.185 408.182 409.485 1196.85
302000 382.45 409.266 410.599 1202.32
304000 383.413 410.969 409.976 1204.36
306000 385.725 413.649 413.492 1212.86
308000 388.207 415.331 417.375 1220.91
310000 392.156 416.291 418.309 1226.76
312000 395.94 422.711 424.434 1243.09
314000 399.358 425.03 428.53 1252.92
316000 402.969 428.248 432.874 1264.09
318000 407.297 430.05 435.479 1272.83
320000 409.044 431.6 440.442 1281.09
322000 410.162 435.749 445.163 1291.07
324000 412.628 439.724 448.108 1300.46
326000 414.132 444.368 451.073 1309.57
328000 419.159 444.674 454.943 1318.78
330000 417.857 448.94 455.796 1322.59
332000 420.894 451.906 462.507 1335.31
334000 421.615 450.645 466.187 1338.45
336000 428.807 453.768 464.875 1347.45
338000 431.673 458.042 470.211 1359.93
340000 432.753 461.163 471.684 1365.6
342000 436.855 461.62 474.063 1372.54
344000 442.161 467.867 477.273 1387.3
346000 444.268 467.651 476.885 1388.8
348000 447.504 470.611 480.261 1398.38
350000 449.704 472.213 482.824 1404.74
352000 452.43 477.357 486.245 1416.03
354000 455.993 480.191 490.667 1426.85
356000 458.121 484.754 494.774 1437.65
358000 460.579 484.872 495.755 1441.21
360000 461.618 489.358 498.927 1449.9
362000 466.486 492.759 500.855 1460.1
364000 468.283 496.81 506.208 1471.3
366000 473.083 503.339 506.426 1482.85
368000 475.971 505.093 512.14 1493.2
370000 480.326 506.114 512.356 1498.8
372000 485.371 505.607 515.099 1506.08
374000 489.151 509.274 518.605 1517.03
376000 489.169 512.781 521.04 1522.99
378000 492.473 513.322 524.708 1530.5
380000 495.872 516.914 528.697 1541.48
382000 496.844 521.37 531.996 1550.21
384000 501.099 523.907 533.153 1558.16
386000 506.605 529.277 536.837 1572.72
388000 508.828 536.747 539.468 1585.04
